epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.7690,0.6186,0.5662,0.8227,0.001000
2,0.4852,0.7924,0.3972,0.8472,0.001000
3,0.4221,0.8373,0.3148,0.8936,0.001000
4,0.3653,0.8682,0.2948,0.9284,0.001000
5,0.3404,0.8847,0.2670,0.9344,0.001000
6,0.2982,0.9015,0.2590,0.9563,0.001000
7,0.2823,0.9092,0.2617,0.9381,0.001000
8,0.2832,0.9069,0.2124,0.9213,0.001000
9,0.2609,0.9158,0.1936,0.9459,0.001000
10,0.2515,0.9231,0.2066,0.9608,0.001000
11,0.2395,0.9254,0.2114,0.9524,0.001000
12,0.2364,0.9287,0.1823,0.9271,0.001000
13,0.2360,0.9270,0.2036,0.9539,0.001000
14,0.2336,0.9322,0.1798,0.9575,0.001000
15,0.2181,0.9370,0.1896,0.9648,0.001000
16,0.2200,0.9401,0.1815,0.9644,0.001000
17,0.2050,0.9389,0.1894,0.9704,0.001000
18,0.2096,0.9420,0.2241,0.9635,0.001000
19,0.2078,0.9430,0.1949,0.9605,0.001000
20,0.1942,0.9451,0.2068,0.9614,0.000500
21,0.1733,0.9550,0.1590,0.9737,0.000500
22,0.1574,0.9576,0.1957,0.9789,0.000500
23,0.1582,0.9593,0.1811,0.9761,0.000500
24,0.1581,0.9601,0.1743,0.9779,0.000500
25,0.1601,0.9604,0.1689,0.9781,0.000500
26,0.1647,0.9616,0.1662,0.9744,0.000500
27,0.1520,0.9639,0.1968,0.9782,0.000250
28,0.1478,0.9670,0.1547,0.9818,0.000250
29,0.1369,0.9698,0.1762,0.9790,0.000250
30,0.1292,0.9681,0.1625,0.9821,0.000250
31,0.1226,0.9690,0.1601,0.9828,0.000250
32,0.1241,0.9698,0.1833,0.9836,0.000250
33,0.1201,0.9723,0.1810,0.9817,0.000250
34,0.1254,0.9721,0.1707,0.9819,0.000125
35,0.1081,0.9737,0.1746,0.9824,0.000125
36,0.1182,0.9739,0.1662,0.9832,0.000125
37,0.1099,0.9755,0.1632,0.9842,0.000125
38,0.1028,0.9748,0.1670,0.9829,0.000125
