epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.9004,0.5730,0.8794,0.2491,0.001000
2,0.5137,0.8011,0.6405,0.4549,0.001000
3,0.4174,0.8535,0.5793,0.4437,0.001000
4,0.3867,0.8766,0.6078,0.5358,0.001000
5,0.3604,0.8902,0.4357,0.5110,0.001000
6,0.3188,0.9034,0.4529,0.4303,0.001000
7,0.3121,0.9111,0.3202,0.7548,0.001000
8,0.3013,0.9163,0.3141,0.7067,0.001000
9,0.2858,0.9160,0.2980,0.8731,0.001000
10,0.2715,0.9231,0.2375,0.9031,0.001000
11,0.2654,0.9276,0.3357,0.6673,0.001000
12,0.2523,0.9309,0.2451,0.8419,0.001000
13,0.2439,0.9320,0.2470,0.8868,0.001000
14,0.2489,0.9282,0.2241,0.8290,0.001000
15,0.2331,0.9320,0.2483,0.8808,0.001000
16,0.2349,0.9336,0.2434,0.7872,0.001000
17,0.2299,0.9379,0.1903,0.9435,0.001000
18,0.2217,0.9406,0.1941,0.9151,0.001000
19,0.2168,0.9387,0.1894,0.9132,0.001000
20,0.2125,0.9393,0.2235,0.9276,0.001000
21,0.2149,0.9401,0.2131,0.8855,0.001000
22,0.2158,0.9470,0.2254,0.9200,0.001000
23,0.2104,0.9447,0.1875,0.9387,0.001000
24,0.2083,0.9444,0.2578,0.8207,0.001000
25,0.2024,0.9450,0.1794,0.9231,0.001000
26,0.1917,0.9469,0.1937,0.8865,0.001000
27,0.2123,0.9485,0.1646,0.9183,0.001000
28,0.1966,0.9465,0.2065,0.9298,0.001000
29,0.1985,0.9464,0.2096,0.9619,0.001000
30,0.1872,0.9514,0.1759,0.9565,0.001000
31,0.1906,0.9484,0.1651,0.9186,0.001000
32,0.1901,0.9533,0.1715,0.9696,0.001000
33,0.2000,0.9513,0.1632,0.9488,0.001000
34,0.1817,0.9524,0.1901,0.9619,0.001000
35,0.1758,0.9516,0.1636,0.9504,0.001000
36,0.1833,0.9529,0.1613,0.9608,0.001000
37,0.1815,0.9552,0.1427,0.9519,0.001000
38,0.1696,0.9566,0.1717,0.9253,0.001000
39,0.1759,0.9517,0.1608,0.9367,0.001000
40,0.1765,0.9540,0.1717,0.9639,0.001000
41,0.1779,0.9537,0.1501,0.9570,0.001000
42,0.1759,0.9540,0.2112,0.9614,0.001000
43,0.1765,0.9556,0.1777,0.9706,0.000500
44,0.1351,0.9642,0.1576,0.9689,0.000500
45,0.1296,0.9673,0.1778,0.9689,0.000500
46,0.1396,0.9663,0.1678,0.9730,0.000500
47,0.1277,0.9655,0.1452,0.9744,0.000500
